순위,관광지명,주소,분류,외지인 검색 수
1,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사유적지,319361
2,익산역,전북 익산시 익산대로 153-0,교통시설,133974
3,전주월드컵경기장,전북 전주시 덕진구 기린대로 1055-0,레저스포츠시설,99702
4,롯데몰군산점,전북 군산시 조촌로 130-0,쇼핑몰,98944
5,선유도해수욕장,전북 군산시 선유도1길 235-0,자연경관(하천/해양),89600
6,소노벨변산,전북 부안군 변산해변로 51-0,콘도미니엄,86178
7,채석강,전북 부안군,기타관광,74162
8,광한루원,전북 남원시 요천로 1447-0,기타관광,73474
9,선운사,전북 고창군 선운사로 250-0,종교성지,71711
10,라마다전주호텔,전북 전주시 완산구 팔달로 227-0,호텔,67209
11,한국도로공사 수목원,전북 전주시 덕진구,자연공원,67070
12,전주동물원,전북 전주시 덕진구 소리로 68-0,테마공원,66742
13,무주덕유산리조트,전북 무주군 만선로 185-0,콘도미니엄,66572
14,롯데백화점전주점,전북 전주시 완산구 온고을로 2-0,백화점,66381
15,이마트군산점,전북 군산시 구암3.1로 137-0,대형마트,55619
16,비응항,전북 군산시,교통시설,54568
17,변산해수욕장,전북 부안군,자연경관(하천/해양),52464
18,남부시장,전북 전주시 완산구 풍남문2길 63-0,시장,49849
19,선유도,전북 군산시 선유남길 34-22,자연경관(하천/해양),49648
20,격포항,전북 부안군 격포중앙길 28-7,자연경관(하천/해양),48604
21,군산CC,전북 군산시 남군산로 1911-13,육상레저스포츠,48251
22,은파호수공원,전북 군산시 은파순환길 9-0,도시공원,42334
23,이마트전주점,전북 전주시 완산구 당산로 111-0,대형마트,40644
24,라한호텔전주,전북 전주시 완산구 기린대로 85-0,호텔,37737
25,금산사,전북 김제시 모악15길 1-0,종교성지,37445
26,전주덕진공원,전북 전주시 덕진구 권삼득로 390-0,도시공원,37390
27,대둔산케이블카,전북 완주군 대둔산공원길 55-0,기타관광,35908
28,롯데마트군산점,전북 군산시 수송로 185-0,대형마트,35385
29,CGV전주고사,전북 전주시 완산구 전주객사3길 72-0,공연시설,35346
30,더메이호텔,전북 전주시 덕진구 기린대로 800-0,호텔,34932
31,내소사,전북 부안군 내소사로 243-0,종교성지,34643
32,전주역,전북 전주시 덕진구 동부대로 680-0,교통시설,34500
33,구시포해수욕장,전북 고창군,자연경관(하천/해양),31569
34,에이본호텔군산,전북 군산시 해망로 10-0,호텔,31362
35,군산공항,전북 군산시 산동길 2-0,교통시설,30500
36,강천산군립공원,전북 순창군,자연공원,29457
37,스위트호텔남원,전북 남원시 원천로 217-0,호텔,29450
38,골프존카운티드래곤,전북 남원시 대사로 500-0,육상레저스포츠,28396
39,곰소항,전북 부안군 곰소항길 62-5,자연경관(하천/해양),27866
40,이마트익산점,전북 익산시 평동로 705-0,대형마트,27684
41,클럽디금강,전북 익산시 강변로 130-0,육상레저스포츠,27119
42,채계산출렁다리,전북 순창군 담순로 2172-33,기타관광,25557
43,군산수산물종합센터휴업중(2023년01월개장예정),전북 군산시 내항2길 216-0,시장,25127
44,선운산도립공원,전북 고창군 선운사로 158-6,자연공원,24968
45,군산근대역사박물관,전북 군산시 해망로 240-0,전시시설,23985
46,동호해수욕장,전북 고창군 구동호1길 17-9,자연경관(하천/해양),23746
47,그랜드힐스턴호텔,전북 전주시 완산구 서곡5길 22-5,호텔,23227
48,뱀사골계곡,전북 남원시,자연경관(산),23080
49,군산공설시장,전북 군산시 신금길 18-0,시장,23001
50,마이산,전북 진안군 마이산남로 367-0,자연경관(산),22635
51,남원상록골프장,전북 남원시 월계길 11-0,육상레저스포츠,22412
52,고창읍성,전북 고창군,역사유적지,21897
53,풍패지관,전북 전주시 완산구 충경로 59-0,역사유적지,20685
54,홈플러스전주효자점,전북 전주시 완산구 용머리로 31-0,대형마트,20620
55,정읍구절초꽃축제,전북 정읍시,기타문화관광지,20270
56,마이산탑사,전북 진안군 마이산남로 367-0,종교성지,20240
56,운일암반일암,전북 진안군,자연경관(산),20240
58,초원사진관,전북 군산시 구영2길 12-1,기타문화관광지,20198
59,미륵사지,전북 익산시 미륵사지로 362-0,역사유적지,20103
60,태권도원,전북 무주군 무설로 1482-0,기타관광,20042
61,국립전주박물관,전북 전주시 완산구 쑥고개로 249-0,전시시설,19988
62,롯데마트맥스송천점,전북 전주시 덕진구 송천중앙로 82-0,대형마트,19961
63,옥정호구절초테마공원,전북 정읍시 청정로 926-59,도시공원,19894
64,전주고속버스터미널,전북 전주시 덕진구 가리내로 70-0,교통시설,19633
65,NC웨이브전주점A관,전북 전주시 완산구 전주객사5길 35-0,백화점,19236
66,라마다호텔군산,전북 군산시 대학로 400-0,호텔,18682
67,모악산도립공원,전북 김제시,자연공원,18419
68,롯데마트전주점,전북 전주시 완산구 우전로 240-0,대형마트,18296
69,내장산골프앤리조트,전북 정읍시 첨단과학로 476-0,육상레저스포츠,18292
70,격포해넘이해수욕장,전북 부안군,자연경관(하천/해양),18261
71,학원농장,전북 고창군 학원농장길 158-6,농/산/어촌체험,17740
72,한국소리문화의전당,전북 전주시 덕진구 소리로 31-0,공연시설,17638
73,써미트컨트리클럽,전북 진안군 부귀로 72-161,육상레저스포츠,17601
74,정읍역,전북 정읍시 서부산업도로 305-0,교통시설,17548
75,고창CC,전북 고창군 애향갯벌로 70-0,육상레저스포츠,17489
76,옥정호출렁다리휴장중(2023년03월중순개장예정),전북 임실군,기타관광,16957
77,상떼힐익산CC,전북 익산시 무왕로38길 111-0,육상레저스포츠,16447
78,익산보석박물관,전북 익산시 호반로 8-0,전시시설,16246
79,강천사,전북 순창군 강천산길 270-0,종교성지,16192
80,홈플러스전주완산점,전북 전주시 완산구 기린대로 170-0,대형마트,16177
81,석정힐CC,전북 고창군 석정2로 192-0,육상레저스포츠,16088
82,전주샹그릴라CC,전북 임실군 수지로 559-90,육상레저스포츠,16035
83,엠카운티스파힐스CC,전북 김제시 온천길 37-0,육상레저스포츠,15936
84,순창용궐산하늘길,전북 순창군,기타관광,15871
85,롯데마트익산점,전북 익산시 무왕로 1053-0,대형마트,15579
86,무주반디랜드,전북 무주군 무설로 1324-0,도시공원,15563
87,국립신시도자연휴양림,전북 군산시 신시도길 134-3,자연공원,14955
88,내장산케이블카,전북 정읍시 내장산로 1179-11,기타관광,14919
89,무주덕유산리조트스키장,전북 무주군 만선로 185-0,육상레저스포츠,14834
90,격포항수산시장,전북 부안군 격포중앙길 28-4,시장,14789
91,롯데마트정읍점,전북 정읍시 벚꽃로 85-0,대형마트,14785
92,고창청보리밭축제,전북 고창군 학원농장길 158-6,기타문화관광지,14485
93,부안상설시장,전북 부안군 부풍로 47-0,시장,14465
94,골프존카운티 무주,전북 무주군 장무로 1537-21,육상레저스포츠,14439
95,변산반도국립공원,전북 부안군,자연공원,14398
96,내장산,전북 정읍시 내장산로 936-0,자연경관(산),14019
97,켄싱턴리조트지리산남원,전북 남원시 소리길 66-0,콘도미니엄,13931
98,베스트웨스턴,전북 군산시 새만금북로 435-0,호텔,13894
99,머루와인동굴,전북 무주군 산성로 359-0,기타관광,13508
100,야미도선착장,전북 군산시 야미도4길 0-0,교통시설,13386
